outcome,cntry,p_net,p_any_adjacent
trstprl,AT,1.0,0.0005
trstprl,BE,1.0,0.97551
trstprl,BG,1.0,0.22789
trstprl,CH,1.0,0.96302
trstprl,CY,0.0005,0.0005
trstprl,CZ,1.0,0.33833
trstprl,DE,1.0,0.02899
trstprl,DK,1.0,0.53623
trstprl,EE,1.0,0.0005
trstprl,ES,0.04898,0.0005
trstprl,FI,1.0,0.0045
trstprl,FR,0.68566,0.0095
trstprl,GB,0.0005,0.05497
trstprl,GR,0.0005,0.0005
trstprl,HR,1.0,0.0005
trstprl,HU,0.01,0.0005
trstprl,IE,1.0,0.0005
trstprl,IL,0.0015,0.0005
trstprl,IS,0.94303,0.0005
trstprl,IT,0.0025,0.0005
trstprl,LT,1.0,0.09145
trstprl,LV,1.0,0.75912
trstprl,ME,1.0,0.88906
trstprl,NL,1.0,0.30435
trstprl,NO,1.0,0.91454
trstprl,PL,1.0,0.0005
trstprl,PT,1.0,0.0075
trstprl,RS,1.0,1.0
trstprl,RU,1.0,0.0065
trstprl,SE,1.0,0.06597
trstprl,SI,1.0,0.0005
trstprl,SK,1.0,0.0005
trstprl,UA,0.0005,0.0005
stfdem,AT,1.0,0.0005
stfdem,BE,0.32084,0.0005
stfdem,BG,1.0,0.90205
stfdem,CH,1.0,0.98801
stfdem,CY,0.0005,0.0005
stfdem,CZ,1.0,1.0
stfdem,DE,1.0,0.23888
stfdem,DK,1.0,1.0
stfdem,EE,1.0,0.0005
stfdem,ES,0.0005,0.0005
stfdem,FI,1.0,0.0035
stfdem,FR,0.006,0.0005
stfdem,GB,0.0015,0.0005
stfdem,GR,0.999,0.0005
stfdem,HR,1.0,0.16542
stfdem,HU,0.001,0.004
stfdem,IE,1.0,0.0005
stfdem,IL,0.0005,0.0005
stfdem,IS,1.0,0.007
stfdem,IT,1.0,0.0005
stfdem,LT,1.0,0.0085
stfdem,LV,1.0,0.05847
stfdem,ME,1.0,1.0
stfdem,NL,1.0,0.33633
stfdem,NO,1.0,1.0
stfdem,PL,1.0,0.0005
stfdem,PT,1.0,0.0005
stfdem,RS,1.0,1.0
stfdem,RU,1.0,1.0
stfdem,SE,1.0,0.9935
stfdem,SI,1.0,0.0005
stfdem,SK,1.0,0.004
stfdem,UA,0.0005,0.0005
