outcome,cntry,n_rounds,r_first,r_last,c,net,persistent,any_pair,episodic,n_spans,n_declining,n_rising,frac_declining,net_lower
trstprl,AT,8,1,11,3.166,False,False,True,True,28,2,5,0.071,-0.0531
trstprl,BE,11,1,11,3.331,False,False,False,True,55,2,1,0.036,-0.0252
trstprl,BG,7,3,11,3.045,False,False,True,True,21,1,5,0.048,-0.1859
trstprl,CH,11,1,11,3.368,False,False,False,False,55,0,5,0.0,-0.1081
trstprl,CY,7,3,11,3.038,True,False,True,True,21,13,1,0.619,0.0666
trstprl,CZ,9,1,10,3.231,False,False,True,True,36,2,20,0.056,-0.3029
trstprl,DE,11,1,11,3.28,False,False,True,True,55,4,19,0.073,-0.1154
trstprl,DK,8,1,9,3.128,False,False,True,False,28,5,0,0.179,-0.0231
trstprl,EE,10,2,11,3.285,False,False,True,True,45,5,14,0.111,-0.1331
trstprl,ES,11,1,11,3.348,True,False,True,True,55,32,6,0.582,0.0127
trstprl,FI,11,1,11,3.363,False,False,True,True,55,10,8,0.182,-0.1055
trstprl,FR,11,1,11,3.297,False,False,True,True,55,8,2,0.145,-0.0103
trstprl,GB,11,1,11,3.319,True,False,True,True,55,16,6,0.291,0.0669
trstprl,GR,6,1,11,2.944,True,False,True,True,15,8,3,0.533,0.0344
trstprl,HR,5,4,11,2.857,False,False,True,True,10,2,4,0.2,-0.0515
trstprl,HU,11,1,11,3.317,True,False,True,True,55,11,24,0.2,0.0166
trstprl,IE,11,1,11,3.352,False,False,True,True,55,11,16,0.2,-0.1662
trstprl,IL,8,1,11,3.108,True,False,True,True,28,10,2,0.357,0.0312
trstprl,IS,6,2,11,2.981,False,False,True,True,15,3,5,0.2,-0.0281
trstprl,IT,6,1,11,2.932,True,False,True,True,15,5,6,0.333,0.0205
trstprl,LT,7,5,11,3.075,False,False,True,True,21,1,10,0.048,-0.3637
trstprl,LV,4,4,11,2.664,False,False,False,False,6,0,3,0.0,-0.3136
trstprl,ME,3,9,11,2.455,False,False,False,False,3,0,0,0.0,-0.1241
